sampling_date,state,location,type,Sulfur Dioxide(So2),Nitrogen Dioxide (No2),Respirable Suspended Particulate Matter ,Suspended Particulate Matter,PM_2.5,date
July - M071991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.5,17.3,78.18282385,128,32.38055556,01-07-1991
August - M081991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.5,12.5,78.18282385,119,32.69222222,01-08-1991
August - M081991,Andhra Pradesh,Hyderabad,Industrial Area,7.8,9.8,78.18282385,71,33.00388889,01-08-1991
August - M081991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.5,12.6,78.18282385,98,33.31555556,01-08-1991
September - M091991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.6,12.7,78.18282385,172,33.62722222,01-09-1991
September - M091991,Andhra Pradesh,Hyderabad,Industrial Area,13.3,11.9,78.18282385,56,33.93888889,01-09-1991
September - M091991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6,23.4,78.18282385,120,34.25055556,01-09-1991
October - M101991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.5,15.5,78.18282385,135,34.56222222,01-10-1991
October - M101991,Andhra Pradesh,Hyderabad,Industrial Area,12.3,12.2,78.18282385,83,34.87388889,01-10-1991
October - M101991,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.2,25.7,78.18282385,158,35.18555556,01-10-1991
